CHARACTERS ID,"Arryn (0, 0.5, 1)","Baratheon (0, 0.5, 1)","Greyjoy (0, 0.5, 1)","Lannister (0, 0.5, 1)","Stark (0, 0.5, 1)","Tully (0, 0.5, 1)","Tyrell (0, 0.5, 1)",Freefolk,Targaryen,"King (0, 1)","Death (0,1)","War (-1,0,1)"
ARYA,0,0,0,0,1,0,0,0,0,0,0,0
BRAN,0,0,0,0,1,0,0,0,0,0,0,0
BRIENNE,0,0,0,0,0,0,0,0,0,0,0,0
BRONN,0,0,0,0,0,0,0,0,0,0,0,0
CATELYN,0,0,0,0,1,0,0,0,0,0,0,0
CERSEI,0,0,0,1,0,0,0,0,0,0,0,0
DAENERYS,0,0,0,0,0,0,0,0,1,0,0,0
DAVOS,0,0,0,0,0,0,0,0,0,0,0,0
DROGO,0,0,0,0,0,0,0,0,0,0,0,0
ELLARIA,0,0,0,0,0,0,0,0,0,0,0,0
GENDRY,0,0,0,0,0,0,0,0,0,0,0,0
GILLY,0,0,0,0,0,0,0,0,0,0,0,0
GREY_WORM,0,0,0,0,0,0,0,0,0,0,0,0
JAIME,0,0,0,1,0,0,0,0,0,0,0,0
JEOR,0,0,0,0,0,0,0,0,0,0,0,0
JOFFREY,0,1,0,0,0,0,0,0,0,0,1,0
JON,1,0,0,0,0,0,0,0,0,0,0,0
JORAH,0,0,0,0,0,0,0,0,0,0,0,0
MARGAERY,0,0,0,0,0,0,1,0,0,0,0,0
MARTYN,0,0,0,0,0,0,0,0,0,0,0,0
MELISANDRE,0,0,0,0,0,0,0,0,0,0,0,0
MISSANDEI,0,0,0,0,0,0,0,0,0,0,0,0
NED,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT_KING,0,0,0,0,0,0,0,0,0,0,0,0
PETYR,0,0,0,0,0,0,0,0,0,0,0,0
RAMSAY,0,0,0,0,0,0,0,0,0,0,0,1
ROBB,0,0,0,0,1,0,0,0,0,0,0,0
ROBERT,0,0,0,0,0,0,0,0,0,0,0,0
SAMWELL,0,0,0,0,0,0,0,0,0,0,0,1
SANDOR,0,0,0,0,0,0,0,0,0,0,0,0
SANSA,0,0,0,0,1,0,0,0,0,0,0,0
SHAE,0,0,0,0,0,0,0,0,0,0,1,0
STANNIS,0,1,0,0,0,0,0,0,0,0,0,0
THEON,0,0,1,0,0,0,0,0,0,0,0,-1
TOMMEN,0,1,0,0,0,0,0,0,0,0,0,0
TORMUND,0,0,0,0,0,0,0,0,0,0,0,-1
TYRION,0,0,0,1,0,0,0,0,0,0,0,0
TYWIN,0,0,0,1,0,0,0,0,0,0,1,0
VARYS,0,0,0,0,0,0,0,0,0,0,0,0
VISERYS,0,0,0,0,0,0,0,0,1,0,0,0
WHITE_WALKER,0,0,0,0,0,0,0,0,0,0,0,0
YGRITTE,0,0,0,0,0,0,0,0,0,0,1,-1
